icao,altitude,latitude,longitude,time,flight_num
30037b,0,45.17,10.01,1474617786055,0
30037b,100,45.17,9.98,1474617174669,0
30037b,100,45.17,10.02,1474617252429,0
30037b,200,45.17,9.98,1474617161395,0
30037b,200,45.17,10.02,1474617542211,0
30037b,300,45.17,9.97,1474617148944,0
30037b,300,45.17,10.02,1474617816779,0
30037b,300,45.18,9.97,1474617140687,0
30037b,300,45.18,9.98,1474617673722,0
30037b,400,45.17,10.02,1474617282638,0
30037b,400,45.18,9.97,1474617133453,0
30037b,400,45.18,9.98,1474617114109,0
30037b,400,45.18,10.02,1474617828888,0
30037b,400,45.19,9.98,1474617098513,0
30037b,400,45.19,9.99,1474617089939,0
30037b,500,45.17,10.02,1474617567497,0
30037b,500,45.18,10.02,1474617292590,0
30037b,500,45.19,10.0,1474617335106,0
30037b,600,45.18,9.98,1474617901960,0
30037b,600,45.18,10.01,1474617051272,0
30037b,600,45.18,10.02,1474617302151,0
30037b,700,45.18,10.02,1474617029320,0
30037b,700,45.19,9.93,1474617978456,0
30037b,700,45.19,9.94,1474617959807,0
30037b,800,45.18,10.03,1474617020651,0
30037b,900,45.17,10.03,1474617007983,0
30037b,900,45.18,10.03,1474617013700,0
30037b,900,45.2,9.91,1474618013883,0
30037b,1000,45.17,10.03,1474616995163,0
30037b,1000,45.21,9.95,1474724129393,1
30037b,1000,45.23,9.96,1474732423135,1
30037b,1000,45.25,9.95,1474732372877,1
30037b,1100,45.17,10.02,1474616986835,0
30037b,1100,45.33,9.9,1474732145277,1
30037b,1100,45.34,9.89,1474732117552,1
30037b,1100,45.36,9.88,1474732066831,1
30037b,1100,45.37,9.88,1474732038396,1
30037b,1100,45.42,9.82,1474731871077,1
30037b,1200,45.16,10.02,1474616971887,0
30037b,1200,45.21,9.89,1474618062308,0
30037b,1200,45.23,9.94,1474724083582,1
30037b,1200,45.3,9.92,1474732231812,1
30037b,1200,45.32,9.91,1474732190562,1
30037b,1200,45.39,9.86,1474731980949,1
30037b,1200,45.43,9.81,1474731850050,1
30037b,1200,45.47,9.77,1474731714431,1
30037b,1200,45.49,9.74,1474735181324,1
30037b,1200,45.51,9.73,1474735222667,1
30037b,1200,45.52,9.73,1474735253156,1
30037b,1200,45.64,9.75,1474619191906,0
30037b,1300,45.16,10.0,1474616935309,0
30037b,1300,45.16,10.01,1474616964215,0
30037b,1300,45.17,10.0,1474616928807,0
30037b,1300,45.18,9.99,1474616882506,0
30037b,1300,45.18,10.0,1474616898793,0
30037b,1300,45.28,9.93,1474732284894,1
30037b,1300,45.29,9.93,1474732251987,1
30037b,1300,45.4,9.84,1474731935144,1
30037b,1300,45.4,9.85,1474731950404,1
30037b,1300,45.44,9.78,1474735060517,1
30037b,1300,45.46,9.76,1474735109592,1
30037b,1300,45.47,9.77,1474731729003,1
30037b,1300,45.48,9.76,1474731688773,1
30037b,1300,45.51,9.75,1474731621993,1
30037b,1300,45.63,9.75,1474619169597,0
30037b,1400,45.16,10.0,1474616943428,0
30037b,1400,45.16,10.01,1474616951756,0
30037b,1400,45.19,9.98,1474616867429,0
30037b,1400,45.2,9.94,1474616783491,0
30037b,1400,45.2,9.96,1474616813902,0
30037b,1400,45.21,9.87,1474618090687,0
30037b,1400,45.22,9.92,1474616729044,0
30037b,1400,45.22,9.96,1474734405482,1
30037b,1400,45.41,9.79,1474734987983,1
30037b,1400,45.42,9.78,1474735012979,1
30037b,1400,45.44,9.83,1474723528143,1
30037b,1400,45.51,9.73,1474618891939,0
30037b,1400,45.52,9.74,1474618917041,0
30037b,1400,45.53,9.73,1474729142424,1
30037b,1400,45.53,9.74,1474618937014,0
30037b,1400,45.53,9.75,1474723248211,1
30037b,1400,45.56,9.75,1474619000901,0
30037b,1500,45.22,9.87,1474618106815,0
30037b,1500,45.22,9.91,1474616707966,0
30037b,1500,45.25,9.88,1474616629247,0
30037b,1500,45.27,9.93,1474724002697,1
30037b,1500,45.34,9.82,1474734800765,1
30037b,1500,45.35,9.82,1474734819551,1
30037b,1500,45.36,9.85,1474728678079,1
30037b,1500,45.38,9.8,1474734889748,1
30037b,1500,45.39,9.79,1474734935419,1
30037b,1500,45.4,9.82,1474728784421,1
30037b,1500,45.41,9.81,1474728811550,1
30037b,1500,45.42,9.85,1474723593666,1
30037b,1500,45.43,9.84,1474723550551,1
30037b,1500,45.45,9.83,1474723510441,1
30037b,1500,45.47,9.82,1474723458066,1
30037b,1500,45.48,9.81,1474723426013,1
30037b,1500,45.5,9.73,1474729085614,1
30037b,1500,45.54,9.75,1474618971957,0
30037b,1500,45.57,9.75,1474619035525,0
30037b,1500,45.58,9.75,1474619055842,0
30037b,1600,45.26,9.86,1474616571527,0
30037b,1600,45.27,9.8,1474618256269,0
30037b,1600,45.27,9.95,1474728398606,1
30037b,1600,45.28,9.79,1474618301871,0
30037b,1600,45.28,9.87,1474734636361,1
30037b,1600,45.28,9.93,1474723970886,1
30037b,1600,45.29,9.78,1474618331097,0
30037b,1600,45.29,9.86,1474734663043,1
30037b,1600,45.3,9.77,1474618352348,0
30037b,1600,45.3,9.94,1474728463173,1
30037b,1600,45.31,9.84,1474734719359,1
30037b,1600,45.32,9.74,1474618418650,0
30037b,1600,45.32,9.75,1474618399713,0
30037b,1600,45.32,9.84,1474734735063,1
30037b,1600,45.32,9.91,1474728538691,1
30037b,1600,45.33,9.72,1474618454087,0
30037b,1600,45.33,9.83,1474734785123,1
30037b,1600,45.35,9.7,1474618503615,0
30037b,1600,45.35,9.89,1474723775197,1
