icao,altitude,latitude,longitude,time,flight_num
0200cc,1250,48.94,2.32,1474615510556,0
0200cc,1400,46.24,6.11,1474631662408,1
0200cc,1625,46.27,6.16,1474628594703,1
0200cc,2275,48.97,2.49,1474625868895,1
0200cc,3200,48.97,2.52,1474625891546,1
0200cc,3475,46.22,6.08,1474631699686,1
0200cc,3525,48.97,2.53,1474625903988,1
0200cc,3675,48.85,2.01,1474615296799,0
0200cc,4050,48.96,2.58,1474625931915,1
0200cc,4700,46.38,6.32,1474628374645,1
0200cc,5450,46.17,6.01,1474631770607,1
0200cc,5650,48.8,1.8,1474615179056,0
0200cc,6525,46.14,5.97,1474631804505,1
0200cc,6775,46.45,6.43,1474628236895,1
0200cc,7325,48.76,1.66,1474615104563,0
0200cc,7350,46.13,5.95,1474631822216,1
0200cc,7500,48.75,1.65,1474615097486,0
0200cc,7550,46.13,5.94,1474631826234,1
0200cc,7650,48.75,1.64,1474615091634,0
0200cc,7800,48.74,1.63,1474615086722,0
0200cc,7875,46.12,5.93,1474631832369,1
0200cc,7950,48.74,1.63,1474615081864,0
0200cc,8100,48.73,1.62,1474615076683,0
0200cc,8975,48.58,1.5,1474614943994,0
0200cc,8975,48.59,1.51,1474614951294,0
0200cc,8975,48.59,1.52,1474614957905,0
0200cc,9050,48.57,1.49,1474614936307,0
0200cc,9125,48.57,1.48,1474614928566,0
0200cc,9425,46.1,5.89,1474631860286,1
0200cc,9850,48.52,1.35,1474614856661,0
0200cc,9925,48.51,1.34,1474614848138,0
0200cc,10000,48.5,1.32,1474614838301,0
0200cc,10050,48.95,2.79,1474626038873,1
0200cc,10075,48.49,1.31,1474614829591,0
0200cc,10400,46.09,5.86,1474631880603,1
0200cc,10625,48.95,2.83,1474626055691,1
0200cc,10650,48.42,1.24,1474614770826,0
0200cc,10850,46.08,5.82,1474631899438,1
0200cc,10850,48.95,2.85,1474626065849,1
0200cc,12425,48.91,2.91,1474626101748,1
0200cc,13225,46.01,5.68,1474631970220,1
0200cc,13500,46.5,6.17,1474627946338,1
0200cc,15250,45.97,5.6,1474632009383,1
0200cc,15750,45.96,5.58,1474632019156,1
0200cc,15850,46.47,5.98,1474627860212,1
0200cc,15925,46.47,5.98,1474627857097,1
0200cc,16100,45.96,5.57,1474632026212,1
0200cc,16100,46.47,5.96,1474627850655,1
0200cc,16150,46.47,5.96,1474627847727,1
0200cc,16325,46.47,5.94,1474627841379,1
0200cc,16550,46.48,5.92,1474627832934,1
0200cc,16575,46.48,5.92,1474627831489,1
0200cc,16650,46.48,5.91,1474627827996,1
0200cc,16800,46.49,5.9,1474627821937,1
0200cc,17100,46.5,5.89,1474627811907,1
0200cc,17450,48.15,1.0,1474614582980,0
0200cc,18125,46.54,5.84,1474627774664,1
0200cc,18300,46.55,5.83,1474627767637,1
0200cc,18475,46.56,5.82,1474627763024,1
0200cc,18575,46.57,5.81,1474627756487,1
0200cc,18675,46.57,5.8,1474627752647,1
0200cc,18800,46.57,5.79,1474627747131,1
0200cc,18950,46.58,5.78,1474627741567,1
0200cc,19025,46.58,5.77,1474627737711,1
0200cc,19700,45.89,5.38,1474632103931,1
0200cc,19875,46.6,5.65,1474627684584,1
0200cc,20850,48.51,2.85,1474626322941,1
0200cc,22800,45.82,5.21,1474632176594,1
0200cc,24150,46.66,5.24,1474627539829,1
0200cc,24300,46.66,5.23,1474627535867,1
0200cc,24825,46.67,5.19,1474627521530,1
0200cc,25075,46.68,5.17,1474627513594,1
0200cc,25400,45.75,5.02,1474632251727,1
0200cc,25400,46.68,5.15,1474627506260,1
0200cc,25675,46.69,5.13,1474627499420,1
0200cc,26975,47.72,0.63,1474614322781,0
0200cc,27650,47.69,0.61,1474614303793,0
0200cc,27950,45.67,4.8,1474632338693,1
0200cc,28100,45.66,4.79,1474632342415,1
0200cc,28225,45.66,4.78,1474632345518,1
0200cc,28450,45.66,4.76,1474632350741,1
0200cc,28725,45.65,4.74,1474632357462,1
0200cc,28775,46.79,4.87,1474627405945,1
0200cc,29625,47.51,0.46,1474614209046,0
0200cc,29950,45.64,4.65,1474632390201,1
0200cc,30100,47.45,0.41,1474614179471,0
0200cc,30200,47.44,0.4,1474614173221,0
0200cc,30300,47.42,0.39,1474614167696,0
0200cc,30375,47.41,0.39,1474614161601,0
0200cc,30500,47.4,0.39,1474614155640,0
0200cc,30750,47.36,0.38,1474614139855,0
0200cc,30975,45.63,4.57,1474632418278,1
0200cc,32500,47.13,0.44,1474614031487,0
0200cc,32600,47.12,0.44,1474614025223,0
0200cc,32725,47.1,0.44,1474614017483,0
0200cc,32800,47.09,0.44,1474614013517,0
0200cc,32875,47.08,0.44,1474614007502,0
0200cc,33000,47.07,0.44,1474614000057,0
0200cc,33125,47.05,0.43,1474613992014,0
0200cc,33150,45.6,4.38,1474632487892,1
0200cc,33250,47.03,0.42,1474613984107,0
0200cc,34875,46.83,0.3,1474613885316,0
0200cc,35175,45.57,4.15,1474632568471,1
0200cc,35725,45.56,4.05,1474632605424,1
0200cc,35975,38.46,-5.13,1474609536464,0
0200cc,35975,38.95,-5.14,1474609767883,0
0200cc,35975,39.35,-4.66,1474610019043,0
0200cc,35975,39.97,-4.34,1474610326172,0
0200cc,35975,40.21,-4.19,1474610447417,0
0200cc,35975,45.55,4.02,1474632619885,1
0200cc,36000,38.29,-5.24,1474609448270,0
0200cc,36000,38.57,-5.11,1474609589958,0
0200cc,36000,39.78,-4.44,1474610231775,0
0200cc,36175,45.53,3.98,1474632633819,1
0200cc,36225,45.53,3.97,1474632637789,1
0200cc,36250,45.52,3.96,1474632645608,1
0200cc,36575,46.53,0.11,1474613734912,0
0200cc,37375,45.43,3.79,1474632719926,1
0200cc,37450,46.42,0.04,1474613679861,0
