icao,altitude,latitude,longitude,time,flight_num
000334,4700,-23.23,-46.18,1474555776606,0
000334,4725,-23.24,-46.17,1474555798578,0
008c1f,-75,43.54,6.95,1474467678392,1
008c1f,-50,43.54,6.95,1474467672911,1
008c1f,-25,43.54,6.95,1474467689268,1
008c1f,-25,43.55,6.95,1474524985107,3
008c1f,0,43.54,6.95,1474467663256,1
008c1f,0,43.54,6.96,1474467769512,1
008c1f,50,43.54,6.95,1474467657375,1
008c1f,75,43.54,6.95,1474467650218,1
008c1f,100,43.54,6.95,1474467646558,1
008c1f,150,43.54,6.95,1474467642405,1
008c1f,150,43.55,6.95,1474524996256,3
008c1f,175,43.54,6.95,1474467639949,1
008c1f,200,43.54,6.95,1474467635834,1
008c1f,225,43.54,6.96,1474467632776,1
008c1f,250,43.54,6.96,1474467628161,1
008c1f,275,43.54,6.96,1474467625614,1
008c1f,275,43.55,6.95,1474525005016,3
008c1f,300,43.54,6.96,1474467623488,1
008c1f,325,43.54,6.96,1474467620947,1
008c1f,350,43.47,7.07,1474525218959,3
008c1f,350,43.54,6.96,1474467618427,1
008c1f,350,43.55,6.96,1474525013992,3
008c1f,375,43.48,7.06,1474525197234,3
008c1f,375,43.49,7.05,1474525180632,3
008c1f,375,43.54,6.96,1474467616733,1
008c1f,400,43.54,6.96,1474467615108,1
008c1f,450,43.54,6.96,1474467610858,1
008c1f,475,43.51,7.01,1474525129005,3
008c1f,475,43.55,6.96,1474525021776,3
008c1f,525,43.54,6.96,1474467606200,1
008c1f,575,43.55,6.96,1474467602693,1
008c1f,625,43.52,7.0,1474525116389,3
008c1f,625,43.55,6.96,1474467599783,1
008c1f,625,43.55,6.97,1474525035328,3
008c1f,650,43.55,6.96,1474467598221,1
008c1f,700,43.55,6.96,1474467593177,1
008c1f,725,43.52,6.98,1474525092369,3
008c1f,725,43.55,6.96,1474467592231,1
008c1f,750,43.55,6.96,1474467589649,1
008c1f,775,43.43,7.11,1474525306211,3
008c1f,775,43.52,6.98,1474525082782,3
008c1f,825,43.53,6.97,1474525074953,3
008c1f,825,43.55,6.96,1474467584807,1
008c1f,850,43.53,6.97,1474525067949,3
008c1f,850,43.54,6.97,1474525059364,3
008c1f,875,43.55,6.96,1474467581919,1
008c1f,900,43.55,6.95,1474467579201,1
008c1f,925,43.56,6.95,1474467577393,1
008c1f,950,43.56,6.95,1474467575422,1
008c1f,975,43.56,6.95,1474467573140,1
008c1f,1000,43.56,6.95,1474467571307,1
008c1f,1025,43.56,6.95,1474467568780,1
008c1f,1050,43.56,6.95,1474467564723,1
