icao,altitude,latitude,longitude,time,flight_num
3dd373,6400,48.9,8.41,1474554239275,0
3dd373,6500,48.9,8.42,1474554244508,0
3dd373,6700,48.9,8.42,1474554249961,0
3dd373,6800,48.9,8.43,1474554256506,0
3dd373,6900,48.9,8.43,1474554257429,0
3dd373,7000,48.9,8.43,1474554265448,0
3dd373,7100,48.87,8.31,1474554594176,0
3dd373,7100,48.91,8.43,1474554270301,0
3dd373,7200,48.83,8.3,1474618855029,1
3dd373,7200,48.91,8.44,1474554274976,0
3dd373,7300,48.83,8.3,1474618851988,1
3dd373,7300,48.86,8.35,1474618620660,1
3dd373,7300,48.87,8.3,1474554584998,0
3dd373,7300,48.91,8.44,1474554277934,0
3dd373,7400,48.84,8.3,1474618846201,1
3dd373,7400,48.91,8.44,1474554279533,0
3dd373,7500,48.86,8.36,1474618631288,1
3dd373,7500,48.88,8.3,1474554576500,0
3dd373,7500,48.91,8.44,1474554285474,0
3dd373,7600,48.84,8.3,1474618839961,1
3dd373,7600,48.86,8.36,1474618635858,1
3dd373,7600,48.88,8.3,1474554575442,0
3dd373,7600,48.91,8.44,1474554288885,0
3dd373,7600,48.92,8.45,1474554293480,0
3dd373,7700,48.84,8.3,1474618839111,1
3dd373,7700,48.86,8.36,1474618637976,1
3dd373,7700,48.88,8.29,1474554566572,0
3dd373,7700,48.92,8.45,1474554295822,0
3dd373,7800,48.84,8.3,1474618836145,1
3dd373,7800,48.86,8.36,1474618642694,1
3dd373,7800,48.92,8.45,1474554301117,0
3dd373,7900,48.85,8.3,1474618831649,1
3dd373,7900,48.89,8.29,1474554559049,0
3dd373,7900,48.92,8.45,1474554305851,0
3dd373,8000,48.85,8.3,1474618827170,1
3dd373,8000,48.89,8.29,1474554557018,0
3dd373,8000,48.93,8.45,1474554313442,0
3dd373,8100,48.85,8.3,1474618823938,1
3dd373,8100,48.87,8.37,1474618660145,1
3dd373,8100,48.89,8.29,1474554552708,0
3dd373,8100,48.93,8.44,1474554319527,0
3dd373,8200,48.85,8.3,1474618822913,1
3dd373,8200,48.87,8.37,1474618662899,1
3dd373,8200,48.9,8.29,1474554550062,0
3dd373,8200,48.93,8.44,1474554325746,0
3dd373,8300,48.85,8.3,1474618820079,1
3dd373,8300,48.87,8.37,1474618667007,1
3dd373,8300,48.87,8.38,1474618668402,1
3dd373,8300,48.9,8.29,1474554542974,0
3dd373,8300,48.94,8.44,1474554333894,0
3dd373,8400,48.86,8.3,1474618816575,1
3dd373,8400,48.87,8.38,1474618673729,1
3dd373,8400,48.9,8.29,1474554535464,0
3dd373,8400,48.91,8.29,1474554533979,0
3dd373,8400,48.94,8.43,1474554340239,0
3dd373,8500,48.86,8.3,1474618813256,1
3dd373,8500,48.87,8.38,1474618675676,1
3dd373,8500,48.91,8.29,1474554529281,0
3dd373,8500,48.94,8.43,1474554348247,0
3dd373,8600,48.86,8.3,1474618810893,1
3dd373,8600,48.87,8.38,1474618678344,1
3dd373,8600,48.91,8.29,1474554519588,0
3dd373,8600,48.94,8.42,1474554353720,0
3dd373,8700,48.86,8.3,1474618808657,1
3dd373,8700,48.88,8.38,1474618683431,1
3dd373,8700,48.92,8.29,1474554516818,0
3dd373,8700,48.94,8.42,1474554356401,0
3dd373,8800,48.86,8.31,1474618805503,1
3dd373,8800,48.88,8.38,1474618689524,1
3dd373,8800,48.92,8.29,1474554511691,0
3dd373,8800,48.94,8.41,1474554363833,0
3dd373,8900,48.86,8.31,1474618802329,1
3dd373,8900,48.88,8.38,1474618692783,1
3dd373,8900,48.92,8.29,1474554508181,0
3dd373,8900,48.92,8.3,1474554505416,0
3dd373,8900,48.95,8.41,1474554370919,0
3dd373,9000,48.86,8.31,1474618800762,1
3dd373,9000,48.88,8.37,1474618704528,1
3dd373,9000,48.88,8.38,1474618700892,1
3dd373,9000,48.93,8.3,1474554500426,0
3dd373,9000,48.95,8.4,1474554380509,0
3dd373,9100,48.86,8.31,1474618797118,1
3dd373,9100,48.87,8.31,1474618795427,1
3dd373,9100,48.89,8.37,1474618708521,1
3dd373,9100,48.93,8.3,1474554495173,0
3dd373,9100,48.95,8.39,1474554388453,0
3dd373,9200,48.87,8.31,1474618794942,1
3dd373,9200,48.89,8.37,1474618711312,1
3dd373,9200,48.93,8.3,1474554490255,0
3dd373,9200,48.93,8.31,1474554478037,0
3dd373,9200,48.93,8.32,1474554477588,0
3dd373,9200,48.94,8.32,1474554470131,0
3dd373,9200,48.95,8.37,1474554409760,0
3dd373,9200,48.95,8.38,1474554404217,0
3dd373,9200,48.95,8.39,1474554395085,0
3dd373,9300,48.87,8.31,1474618789830,1
3dd373,9300,48.89,8.36,1474618720740,1
3dd373,9300,48.89,8.37,1474618718084,1
3dd373,9300,48.94,8.33,1474554456001,0
3dd373,9300,48.94,8.34,1474554452795,0
3dd373,9300,48.95,8.36,1474554420356,0
3dd373,9300,48.95,8.37,1474554419306,0
3dd373,9400,48.87,8.32,1474618782826,1
3dd373,9400,48.88,8.36,1474618726683,1
3dd373,9400,48.89,8.36,1474618724688,1
3dd373,9400,48.94,8.34,1474554442874,0
3dd373,9400,48.94,8.35,1474554442380,0
3dd373,9400,48.95,8.35,1474554434106,0
3dd373,9400,48.95,8.36,1474554427559,0
3dd373,9500,48.87,8.32,1474618777071,1
3dd373,9500,48.87,8.33,1474618768491,1
3dd373,9500,48.88,8.33,1474618765462,1
3dd373,9500,48.88,8.34,1474618749407,1
3dd373,9500,48.88,8.35,1474618737856,1
3e0f76,0,48.15,11.55,1474374793704,4
3e0f76,1025,48.71,11.19,1474708963130,13
3e0f76,1025,48.74,11.25,1474708866137,13
3e0f76,1025,48.75,11.28,1474708821272,13
3e0f76,1025,48.75,11.29,1474708804897,13
3e0f76,1050,48.73,11.23,1474708908436,13
3e0f76,1050,48.73,11.25,1474708885193,13
3e0f76,1075,48.71,11.19,1474708970281,13
3e0f76,1075,48.77,11.36,1474708697588,13
3e0f76,1150,48.71,11.19,1474708975079,13
