icao,altitude,latitude,longitude,time,flight_num
3c0c4b,2950,52.46,9.93,1474630112339,0
3c0c4b,3200,52.46,9.98,1474628288764,0
3c0c4b,3225,52.33,10.81,1474631439484,0
3c0c4b,3325,52.47,9.63,1474630372232,0
3c0c4b,3375,52.33,10.82,1474631431932,0
3c0c4b,3425,52.47,9.61,1474627260787,0
3c0c4b,3450,52.34,10.41,1474625684097,0
3c0c4b,3475,52.34,10.83,1474631424217,0
3c0c4b,3500,52.47,9.62,1474628572549,0
3c0c4b,3575,52.34,10.84,1474631417533,0
3c0c4b,3575,52.47,9.62,1474630377930,0
3c0c4b,3625,52.47,9.62,1474629481094,0
3c0c4b,3650,52.34,10.85,1474631411608,0
3c0c4b,3675,52.47,9.61,1474628578703,0
3c0c4b,3725,52.45,10.1,1474629115653,0
3c0c4b,3725,52.46,10.07,1474629135030,0
3c0c4b,3800,52.48,9.61,1474630381801,0
3c0c4b,3825,52.48,9.59,1474627269425,0
3c0c4b,3850,52.47,9.6,1474628583894,0
3c0c4b,4000,52.47,9.6,1474629489228,0
3c0c4b,4125,52.48,9.59,1474627274143,0
3c0c4b,4150,52.48,9.59,1474628591490,0
3c0c4b,4175,52.47,9.6,1474629492231,0
3c0c4b,4350,52.38,10.93,1474631350263,0
3c0c4b,4400,52.48,9.58,1474628596683,0
3c0c4b,4425,52.48,9.58,1474627279039,0
3c0c4b,4500,52.44,10.22,1474629050297,0
3c0c4b,4600,52.48,9.58,1474629499184,0
3c0c4b,4675,52.49,9.58,1474628601668,0
3c0c4b,4750,52.46,10.09,1474630000488,0
3c0c4b,4850,52.44,10.24,1474629041462,0
3c0c4b,5000,52.45,10.12,1474629983757,0
3c0c4b,5025,52.48,9.58,1474629505009,0
3c0c4b,5075,52.44,10.25,1474629035636,0
3c0c4b,5225,52.5,9.57,1474627292742,0
3c0c4b,5300,52.48,9.57,1474629508088,0
3c0c4b,5300,52.5,9.57,1474628611229,0
3c0c4b,5325,52.44,10.26,1474629028739,0
3c0c4b,5350,52.46,10.15,1474629966460,0
3c0c4b,5400,52.45,10.3,1474628099410,0
3c0c4b,5450,52.37,10.37,1474625719755,0
3c0c4b,5450,52.5,9.57,1474628613568,0
3c0c4b,5475,52.5,9.57,1474627296971,0
3c0c4b,5500,52.46,10.16,1474629959852,0
3c0c4b,5575,52.44,10.27,1474629021784,0
3c0c4b,5650,52.46,10.18,1474629952023,0
3c0c4b,5675,52.44,10.28,1474629017369,0
3c0c4b,5675,52.51,9.57,1474627299946,0
3c0c4b,5700,52.49,9.57,1474629512698,0
3c0c4b,5750,52.45,10.28,1474629014522,0
3c0c4b,5775,52.43,11.01,1474631288566,0
3c0c4b,5875,52.45,10.29,1474629010521,0
3c0c4b,5975,52.45,10.29,1474629007664,0
3c0c4b,6100,52.46,10.29,1474629003628,0
3c0c4b,6125,52.45,10.37,1474626750565,0
3c0c4b,6200,52.46,10.29,1474629000498,0
3c0c4b,6200,52.5,9.57,1474630414194,0
3c0c4b,6225,52.49,9.56,1474629518889,0
3c0c4b,6250,52.52,9.58,1474627308985,0
3c0c4b,6300,52.47,10.21,1474629932220,0
3c0c4b,6350,52.47,10.3,1474628996268,0
3c0c4b,6350,52.51,9.57,1474630416982,0
3c0c4b,6375,52.45,10.38,1474628058930,0
3c0c4b,6500,52.45,11.05,1474631259519,0
3c0c4b,6525,52.52,9.59,1474627314089,0
3c0c4b,6550,52.45,10.41,1474628048613,0
3c0c4b,6550,52.47,11.05,1474631246915,0
3c0c4b,6575,52.48,10.22,1474629921782,0
3c0c4b,6600,52.45,10.41,1474628045681,0
3c0c4b,6600,52.52,9.58,1474628631493,0
3c0c4b,6700,52.5,9.56,1474629525374,0
3c0c4b,6725,52.45,10.42,1474628040524,0
3c0c4b,6725,52.48,10.23,1474629915938,0
3c0c4b,6725,52.52,9.56,1474630427644,0
3c0c4b,6800,52.49,10.3,1474628980068,0
3c0c4b,6825,52.49,10.24,1474629912070,0
3c0c4b,6850,52.53,9.6,1474627320363,0
3c0c4b,6900,52.49,10.24,1474629909303,0
3c0c4b,6925,52.45,10.43,1474628033849,0
3c0c4b,6925,52.53,9.55,1474630435278,0
3c0c4b,6975,52.5,10.29,1474628971424,0
3c0c4b,7000,52.49,10.24,1474629905419,0
3c0c4b,7000,52.53,9.55,1474630438158,0
3c0c4b,7025,52.45,10.44,1474628031114,0
3c0c4b,7050,52.53,9.6,1474628640445,0
3c0c4b,7100,52.51,9.56,1474629531619,0
3c0c4b,7100,52.53,9.55,1474630442869,0
3c0c4b,7125,52.5,10.24,1474629900524,0
3c0c4b,7150,52.46,10.44,1474628026296,0
3c0c4b,7150,52.51,10.29,1474628962502,0
3c0c4b,7175,52.5,10.24,1474629898555,0
3c0c4b,7175,52.54,9.61,1474627326979,0
3c0c4b,7200,52.52,10.29,1474628959635,0
3c0c4b,7200,52.54,9.55,1474630447201,0
3c0c4b,7225,52.53,9.6,1474628644307,0
3c0c4b,7250,52.51,9.56,1474629535158,0
3c0c4b,7275,52.54,9.56,1474630449949,0
3c0c4b,7300,52.51,10.24,1474629892847,0
3c0c4b,7325,52.52,10.29,1474628954613,0
3c0c4b,7400,52.55,9.56,1474630455578,0
3c0c4b,7425,52.54,9.62,1474627333049,0
3c0c4b,7450,52.51,10.24,1474629886982,0
3c0c4b,7450,52.52,9.56,1474629539901,0
3c0c4b,7500,52.53,10.28,1474628948947,0
3c0c4b,7500,52.56,11.05,1474631174671,0
3c0c4b,7525,52.54,9.62,1474628655325,0
3c0c4b,7525,52.55,9.56,1474630460424,0
3c0c4b,7550,52.52,10.24,1474629883953,0
3c0c4b,7575,52.52,9.56,1474629544242,0
3c0c4b,7600,52.53,10.27,1474628944555,0
3c0c4b,7600,52.56,9.57,1474630464519,0
3c0c4b,7650,52.52,10.24,1474629879952,0
3c0c4b,7650,52.54,9.63,1474628660199,0
3c0c4b,7650,52.54,9.64,1474627339711,0
3c0c4b,7675,52.57,11.05,1474631166554,0
3c0c4b,7725,52.52,10.23,1474629876915,0
3c0c4b,7725,52.53,9.57,1474629550526,0
3c0c4b,7725,52.54,10.26,1474628940611,0
3c0c4b,7750,52.56,9.58,1474630471188,0
3c0c4b,7775,52.53,9.57,1474629552545,0
3c0c4b,7800,52.57,11.04,1474631161404,0
3c0c4b,7825,52.54,9.65,1474627346791,0
3c0c4b,7850,52.43,10.28,1474625785960,0
3c0c4b,7850,52.53,10.22,1474629870300,0
3c0c4b,7850,52.54,10.25,1474628933432,0
3c0c4b,7875,52.57,9.59,1474630477171,0
3c0c4b,7900,52.44,10.51,1474626681324,0
3c0c4b,7900,52.54,9.58,1474629559544,0
3c0c4b,7925,52.54,9.59,1474629563181,0
3c0c4b,7925,52.54,10.22,1474629865465,0
3c0c4b,7925,52.54,10.24,1474628929204,0
3c0c4b,7925,52.57,9.61,1474630483097,0
3c0c4b,7950,52.44,10.26,1474625794694,0
3c0c4b,7950,52.57,9.62,1474630488983,0
3c0c4b,7975,52.44,10.26,1474625801148,0
3c0c4b,7975,52.45,10.26,1474625806114,0
3c0c4b,7975,52.46,10.25,1474625811498,0
3c0c4b,7975,52.54,10.2,1474629857883,0
3c0c4b,7975,52.55,9.6,1474629571751,0
3c0c4b,7975,52.55,10.23,1474628922448,0
3c0c4b,7975,52.74,10.53,1474627765970,0
3c0c4b,8000,52.43,10.81,1474626530506,0
3c0c4b,8000,52.43,10.83,1474626524662,0
3c0c4b,8000,52.43,10.84,1474626518042,0
3c0c4b,8000,52.44,10.85,1474626512489,0
3c0c4b,8000,52.44,10.86,1474626506844,0
3c0c4b,8000,52.45,10.86,1474626502504,0
